GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
MIR192,1,1,0,3,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,1,1,1,2,0,2,2,0,1,0,0,1,0,0,1,2,1,0,2,1,0,0,1,1,0,0,2,2,0,1,1,1,2,3,0
MIR548AT,4,9,1,6,3,5,2,5,3,2,4,7,2,2,8,7,4,6,4,4,4,6,8,0,4,8,2,3,1,3,5,0,6,5,5,0,3,5,3,7,3,2,7,8,3,4,19,9,7,5,8,3,3,6,8,4,3,5,0,2,7,3,7,6,4,6
MIR4328,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MIR5692B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
MIR4436B2,2,0,2,1,4,1,0,1,5,2,0,5,0,2,1,1,2,2,0,2,1,1,0,2,2,0,4,1,3,0,2,0,1,0,3,0,0,0,0,0,1,3,1,4,2,1,1,1,1,0,4,0,2,1,0,4,1,0,0,4,1,2,1,2,5,0
MIR598,3,0,0,0,0,2,0,1,0,0,3,12,4,0,2,3,4,11,0,1,2,0,2,2,0,2,4,0,0,2,3,0,0,6,0,1,0,3,0,6,4,0,7,1,7,3,3,2,0,4,1,8,9,0,2,2,2,0,0,1,0,1,3,0,2,0
MIR548F5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR3651,217,103,336,91,92,213,251,140,90,0,74,157,193,131,250,0,189,133,110,53,156,118,369,100,97,93,56,169,58,107,132,2,113,91,125,80,15,119,119,111,342,137,38,213,145,119,181,69,153,203,132,147,109,170,101,121,88,121,183,125,107,50,61,92,207,156
MIR4793,2,5,2,2,1,3,1,0,3,2,1,1,2,1,1,1,1,1,1,1,2,1,2,3,3,2,1,1,4,1,2,2,4,1,7,2,3,3,1,1,0,2,6,2,1,1,2,1,1,2,0,2,1,4,4,2,2,1,1,2,3,0,3,2,4,1
MIR4668,5,12,3,2,2,1,4,1,3,5,0,0,5,1,1,1,9,3,5,3,2,3,8,0,3,9,6,2,5,2,3,2,8,2,8,0,6,5,16,14,0,7,1,0,3,4,2,5,1,2,4,5,1,6,2,2,3,2,1,6,4,4,6,5,5,0
MIR1286,0,5,3,2,6,0,0,2,0,7,2,2,2,0,4,1,0,3,0,0,0,2,4,1,1,1,2,0,3,1,0,0,0,0,0,1,2,0,3,0,2,0,2,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,8,5,2,3,0,1,3,2
MIR4783,4,1,2,3,3,0,2,3,4,1,0,4,3,3,6,5,0,2,5,3,1,2,3,2,2,6,3,0,2,2,5,3,0,0,2,1,2,8,3,6,0,0,5,2,5,3,4,2,0,5,0,2,1,5,0,2,0,0,4,6,1,0,0,2,4,2
MIR4436A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,2,0,0,0,1,1,0,0,1,0,1
MIR4744,6,5,6,6,10,6,11,7,2,4,8,12,9,4,9,10,9,8,9,1,7,6,4,18,9,7,18,17,7,16,14,12,4,6,10,13,2,17,2,10,22,7,2,17,6,3,9,17,15,15,2,12,6,11,6,8,2,8,14,12,4,2,5,4,9,3
MIR4436B1,2,0,2,1,4,1,0,1,5,2,0,5,0,2,1,1,2,2,0,2,1,1,0,2,2,0,4,1,3,0,2,0,1,0,3,0,0,0,0,0,1,3,1,4,2,1,1,1,1,0,4,0,2,1,0,4,1,0,0,4,1,2,1,2,5,0
